,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,0.0,53.26,13.38,122.17,206.07,156.38,141.49,224.34,69.22,126.34,159.69,158.72,186.31,163.14,141.97,148.49,181.18,151.11,124.15,201.24,203.72,235.04,241.68,178.52,10.2,44.43,4.62,71.65,124.39,76.71,122.94,141.37,154.77,145.41,107.94,99.44,128.04,101.87,127.22,126.53,111.47,65.91,146.33,108.16,93.13,118.4,98.7,138.65,109.37,93.35,97.98,84.47,94.17,75.44,94.22,78.43,154.5,185.88,65.82,75.97
1,53.73,0.0,53.32,95.37,176.15,126.46,124.73,194.42,63.97,96.42,129.77,128.8,156.39,133.22,112.05,118.57,151.27,131.22,104.26,171.32,173.8,205.12,211.76,174.55,46.48,15.9,54.14,62.37,104.5,71.48,106.28,121.48,134.88,125.52,88.05,79.55,108.15,81.98,97.3,96.62,80.84,38.9,126.44,88.27,51.13,88.49,71.9,111.85,82.57,40.56,71.18,63.09,72.03,66.28,74.33,58.54,124.59,155.96,55.14,65.72
2,13.43,53.48,0.0,122.39,206.29,156.6,141.71,224.56,69.44,126.56,159.91,158.94,186.53,163.36,142.19,148.71,181.41,151.33,124.37,201.46,203.94,235.26,241.9,178.74,7.17,44.65,8.98,71.88,124.61,76.93,123.16,141.59,154.99,145.64,108.16,99.66,128.26,102.1,127.44,126.76,111.7,66.13,146.55,108.38,93.35,118.63,98.93,138.87,109.6,93.57,98.21,84.69,94.4,75.67,94.45,78.65,154.73,186.1,66.05,76.19
3,124.61,97.2,124.2,0.0,241.29,191.6,167.69,259.56,129.11,161.56,194.91,193.94,221.53,198.36,177.19,183.71,216.41,169.17,144.53,209.0,229.72,270.26,242.09,196.58,117.91,118.92,125.02,127.52,128.56,136.62,148.19,159.71,41.48,163.47,133.2,124.69,72.93,133.69,153.5,161.76,67.02,113.52,50.68,137.47,72.05,153.63,29.08,22.58,29.25,64.6,29.85,131.52,138.5,131.43,101.27,123.01,189.73,201.55,120.28,130.86
4,203.01,176.91,202.6,239.53,0.0,55.27,108.7,30.37,128.8,87.45,58.58,68.86,44.04,62.02,80.94,66.62,36.63,104.56,128.4,100.13,57.02,41.07,47.71,103.35,195.76,167.72,203.42,127.21,151.99,125.53,109.45,130.17,204.53,126.98,121.57,127.03,177.8,114.25,100.47,87.65,173.88,140.42,196.08,121.21,155.53,91.65,216.06,224.73,226.73,191.08,215.35,127.92,117.85,120.34,151.07,139.53,64.9,84.77,145.09,119.77
5,153.36,127.26,152.95,189.87,54.37,0.0,57.1,72.64,79.15,37.8,5.6,15.88,32.22,10.43,24.5,13.64,27.09,52.97,78.75,48.53,49.53,83.34,80.24,51.76,146.11,118.06,153.77,77.55,102.33,75.88,59.8,78.58,154.87,75.39,71.91,77.38,128.14,64.6,50.82,38.0,124.22,90.77,146.43,71.56,105.88,42.0,166.41,175.08,177.08,141.43,165.69,78.27,68.19,70.69,101.41,89.87,12.02,33.17,95.43,70.12
6,144.36,125.7,143.96,167.39,107.74,57.14,0.0,93.36,77.59,44.19,60.45,70.74,87.07,53.23,63.28,68.49,81.94,13.21,26.01,53.2,65.44,82.7,77.81,40.78,137.12,109.07,144.77,75.99,40.01,74.32,19.85,31.85,126.84,28.66,33.39,44.41,100.11,39.94,47.83,43.37,116.31,77.58,118.4,33.85,87.94,39.01,164.85,147.05,175.52,139.87,164.13,63.14,51.99,69.13,73.38,71.93,60.21,36.42,77.49,68.56
7,221.14,195.04,220.73,257.66,30.42,73.4,102.33,0.0,146.94,105.59,76.71,87.0,66.59,80.16,99.07,84.75,65.73,89.33,115.58,49.4,32.53,10.87,17.51,69.8,213.89,185.85,221.55,145.34,170.12,143.67,127.58,112.19,222.66,109.0,139.7,145.17,195.93,132.38,118.6,105.78,192.01,158.55,214.22,139.35,173.66,109.79,234.2,242.86,244.87,209.22,233.48,146.05,135.98,138.47,169.2,157.66,83.03,68.0,163.22,137.91
8,69.71,64.19,69.3,126.8,129.24,79.55,77.82,147.51,0.0,49.51,82.86,81.89,109.48,86.31,65.14,71.66,104.36,85.84,58.88,124.41,126.89,158.21,164.85,127.64,62.46,38.49,70.12,3.05,59.12,15.09,59.37,76.1,111.66,80.14,42.67,34.17,84.93,43.2,30.65,49.71,63.05,15.41,103.22,42.89,44.71,41.58,103.34,131.86,114.01,78.36,102.62,13.97,21.48,9.88,45.8,28.7,77.68,109.05,22.66,10.4
9,123.11,97.01,122.7,159.63,86.63,36.94,44.33,104.91,48.9,0.0,40.26,34.55,66.88,43.7,17.79,24.31,61.75,48.3,44.83,81.81,84.29,115.6,122.25,85.03,115.86,87.81,123.52,47.3,72.08,45.63,25.88,58.29,124.63,55.1,38.0,47.13,97.9,34.35,20.57,1.09,93.97,60.52,116.18,41.31,75.63,11.75,136.16,144.83,146.83,111.18,135.44,48.02,37.94,40.44,71.17,59.62,35.07,66.45,65.19,39.87
