,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,0.0,73.44,22.21,137.47,186.6,145.58,162.87,209.0,88.33,124.92,148.55,163.53,180.47,157.78,141.24,145.07,175.01,165.36,136.21,200.31,216.86,225.52,237.38,199.09,17.7,59.0,14.38,89.98,126.57,99.18,135.27,165.66,155.54,163.09,115.44,104.86,134.32,111.68,132.3,124.26,137.4,82.18,150.1,121.46,107.83,117.79,107.65,155.09,126.21,102.23,107.06,94.05,106.58,94.81,100.67,90.44,147.49,182.35,84.98,95.43
1,72.52,0.0,72.73,106.26,145.71,104.69,129.01,168.11,65.16,84.03,107.66,122.64,139.58,116.89,100.35,104.18,134.12,135.64,106.49,159.42,175.97,184.63,196.49,165.79,65.09,29.41,70.46,62.64,96.85,73.81,101.93,135.94,125.82,133.38,85.72,75.14,104.6,81.96,91.41,83.37,102.36,54.98,120.38,91.75,78.03,76.9,76.44,123.88,94.99,50.48,75.84,62.62,75.7,63.63,70.95,60.72,106.6,141.46,57.51,62.61
2,22.31,74.25,0.0,138.28,187.42,146.39,163.69,209.81,89.15,125.73,149.36,164.34,181.28,158.59,142.06,145.88,175.82,166.17,137.03,201.12,217.67,226.33,238.19,199.91,15.23,59.81,14.88,90.79,127.38,100.0,136.09,166.48,156.35,163.91,116.25,105.67,135.13,112.5,133.12,125.07,138.22,83.0,150.92,122.28,108.65,118.6,108.47,155.91,127.02,103.05,107.87,94.86,107.39,95.63,101.49,91.25,148.31,183.16,85.8,96.25
3,141.75,109.5,141.96,0.0,209.12,168.1,164.74,231.52,128.57,147.44,171.07,186.05,202.99,180.3,163.77,167.59,197.53,161.74,135.92,210.54,235.35,248.04,250.31,195.48,134.68,128.98,139.69,126.05,118.68,137.23,143.43,162.73,50.48,159.48,123.59,113.01,71.63,123.86,148.16,146.78,91.81,120.34,57.23,135.05,101.58,140.31,40.99,32.05,42.05,88.72,43.3,120.86,127.42,127.05,96.47,116.54,170.02,204.15,120.92,126.02
4,179.42,143.81,179.63,202.58,0.0,49.32,115.85,43.28,106.43,72.95,52.29,70.02,52.7,61.52,74.0,63.21,58.36,107.88,128.04,104.05,83.77,59.8,71.66,110.43,171.99,140.89,177.36,103.91,128.38,109.77,99.38,139.62,167.19,133.49,112.16,106.67,145.97,97.1,88.86,72.29,164.49,122.34,161.75,110.09,134.92,74.35,172.76,179.99,191.31,150.53,172.16,103.9,104.44,99.59,121.4,118.95,60.36,86.09,122.48,98.56
5,141.09,105.48,141.3,164.24,49.86,0.0,72.44,72.26,68.1,34.61,7.23,24.96,39.15,18.11,32.97,18.15,33.69,64.47,89.7,60.64,76.4,88.78,98.91,67.02,133.66,102.56,139.03,65.58,90.05,71.43,61.05,96.21,128.86,90.08,73.83,68.34,107.64,58.76,50.53,33.95,126.16,84.0,123.42,71.76,96.59,36.01,134.43,141.65,152.98,112.2,133.83,65.57,66.11,61.25,83.06,80.62,18.83,42.68,84.15,60.23
6,165.32,131.22,165.52,165.64,116.72,72.96,0.0,131.97,93.84,64.34,75.93,93.66,107.85,74.26,83.85,86.84,102.39,20.46,37.03,70.17,93.64,115.22,108.61,55.11,157.89,126.79,163.26,91.32,49.86,97.18,32.71,42.31,126.19,36.18,47.26,64.03,104.97,61.41,72.8,62.27,127.29,101.67,120.75,52.34,106.01,58.29,160.17,138.99,178.73,137.94,159.57,80.9,84.44,87.0,80.4,90.04,79.83,57.93,93.57,85.97
7,202.13,166.52,202.34,225.29,43.8,72.03,131.62,0.0,129.14,95.66,75.0,92.73,81.88,84.24,96.72,85.92,89.08,115.44,141.71,68.98,48.68,17.41,29.27,93.1,194.71,163.61,200.08,126.62,151.09,132.48,122.09,144.07,189.9,137.95,134.87,129.38,168.68,119.81,111.57,95.0,187.2,145.05,184.47,132.8,157.63,97.06,195.47,202.7,214.03,173.24,194.87,126.61,127.15,122.3,144.11,141.66,83.07,94.66,145.19,121.27
8,89.53,65.25,89.74,124.02,110.46,69.44,93.76,132.86,0.0,48.78,72.41,87.39,104.33,81.64,65.11,68.93,98.87,104.46,75.31,124.17,140.72,149.38,161.24,130.54,82.1,55.51,87.47,6.21,65.67,25.98,66.68,104.76,104.48,102.19,54.54,43.96,83.26,47.84,53.4,48.12,88.76,22.88,99.05,60.56,59.19,41.65,94.2,117.28,112.76,71.98,93.61,21.93,35.99,15.74,52.03,43.22,71.36,106.21,34.77,16.36
9,120.76,85.15,120.97,143.91,74.8,33.77,64.24,97.2,47.77,0.0,36.74,49.16,68.67,45.98,26.87,30.7,63.21,75.39,65.81,88.51,105.06,113.72,125.58,94.88,113.33,82.23,118.7,45.25,69.71,51.1,37.16,83.1,108.52,76.98,49.93,48.0,87.31,38.43,30.2,3.14,105.83,63.67,103.09,51.43,76.26,15.68,114.1,121.32,132.65,91.87,113.5,45.23,45.77,40.92,62.73,60.29,35.69,70.55,63.81,39.9
10,144.93,109.31,145.13,168.08,53.7,8.17,76.28,76.09,71.93,38.45,0.0,24.23,37.69,15.19,32.24,17.42,32.23,68.3,93.54,64.48,74.79,92.61,101.05,70.85,137.5,106.4,142.87,69.41,93.88,75.27,64.88,100.05,132.69,93.92,77.66,72.17,111.48,62.6,54.37,37.79,130.0,87.84,127.26,75.59,100.42,39.85,138.26,145.49,156.82,116.04,137.67,69.4,69.94,65.09,86.9,84.46,22.66,46.52,87.98,64.07
11,160.92,125.31,161.13,184.08,70.86,25.34,93.45,93.26,87.93,50.58,23.57,0.0,49.63,39.12,39.55,24.43,44.17,85.47,109.54,81.65,97.06,109.78,119.91,88.02,153.5,122.4,158.87,85.41,109.88,91.27,80.88,117.22,148.69,111.09,93.66,88.17,127.47,78.6,70.36,49.92,145.99,103.84,143.26,91.59,116.42,55.85,154.26,161.49,172.82,132.03,153.66,85.4,85.94,81.09,102.9,100.45,36.25,63.69,103.98,80.06
12,174.52,138.91,174.73,197.67,52.81,38.27,106.38,80.9,101.53,68.04,35.62,47.83,0.0,50.01,60.01,45.19,10.42,98.4,123.13,94.58,95.75,97.42,109.28,100.95,167.09,135.99,172.46,99.01,123.48,104.86,94.48,130.15,162.29,124.02,107.26,101.77,141.07,92.19,83.96,67.38,159.59,117.43,156.85,105.19,130.02,69.44,167.86,175.08,186.41,145.63,167.26,99.0,99.54,94.68,116.49,114.05,49.79,76.62,117.58,93.66
13,152.38,116.77,152.59,175.53,61.15,15.58,72.75,83.55,79.39,45.9,14.85,36.21,50.17,0.0,44.22,29.39,44.71,64.77,94.85,60.94,63.95,93.01,99.06,67.32,144.95,113.85,150.32,76.87,101.34,82.72,72.34,96.51,140.15,90.39,85.12,79.63,118.93,70.05,61.82,45.24,137.45,95.29,134.71,83.05,107.88,47.3,145.72,152.94,164.27,123.49,145.12,76.86,77.4,72.54,94.35,91.91,23.63,42.98,95.44,71.52
14,134.4,98.79,134.61,157.55,72.99,31.97,81.44,95.39,61.41,24.64,32.61,39.41,61.65,44.17,0.0,20.95,56.19,90.52,83.01,86.7,103.25,111.91,123.77,93.07,126.97,95.87,132.34,58.89,83.36,64.74,54.36,100.31,122.17,94.18,67.14,61.65,100.95,52.07,43.84,23.98,119.47,77.31,116.73,65.07,89.9,29.32,127.74,134.96,146.29,105.51,127.14,58.88,59.42,54.56,76.37,73.93,32.25,68.74,77.46,53.54
15,141.22,105.61,141.43,164.37,63.7,18.18,86.29,86.1,68.23,30.88,16.57,23.21,45.61,31.96,19.85,0.0,40.15,78.31,89.83,74.49,89.9,102.62,112.75,80.86,133.79,102.69,139.16,65.71,90.17,71.56,61.18,107.12,128.98,101.0,73.95,68.46,107.77,58.89,50.66,30.22,126.29,84.13,123.55,71.89,96.72,36.14,134.56,141.78,153.11,112.33,133.96,65.69,66.23,61.38,83.19,80.75,20.22,56.53,84.27,60.36
16,169.64,134.03,169.85,192.8,58.07,33.4,101.5,89.06,96.65,63.17,30.74,42.95,10.2,45.13,55.14,40.31,0.0,93.53,118.26,89.7,86.7,101.88,107.92,96.08,162.22,131.12,167.59,94.13,118.6,99.99,89.6,125.27,157.41,119.14,102.38,96.89,136.19,87.32,79.08,62.51,154.71,112.56,151.98,100.31,125.14,64.57,162.98,170.21,181.54,140.75,162.38,94.12,94.66,89.81,111.62,109.17,44.91,71.74,112.7,88.78
17,169.8,138.82,170.01,162.18,108.11,64.34,21.2,117.0,105.07,74.72,67.31,85.04,99.24,65.65,93.06,78.23,93.78,0.0,33.56,53.86,78.67,100.25,93.63,38.8,162.37,131.27,167.74,102.55,46.4,106.49,45.84,35.22,122.72,29.1,54.42,68.52,101.51,73.56,84.03,72.65,123.82,106.15,117.29,65.47,105.5,69.51,167.77,135.52,186.33,145.55,167.18,85.38,90.88,96.31,76.93,94.53,71.22,47.47,98.05,95.29
18,139.68,108.7,139.89,135.41,131.12,90.09,35.24,144.18,75.47,66.25,93.06,108.04,124.98,95.67,85.76,89.58,119.52,32.25,0.0,81.05,105.85,127.43,120.82,65.98,132.25,101.15,137.62,72.95,19.63,76.37,35.6,32.55,95.95,29.98,24.3,38.39,74.74,43.44,70.81,64.18,97.05,76.03,90.52,37.35,78.73,60.19,137.65,108.75,156.2,115.42,137.05,55.26,60.76,66.19,50.16,64.4,92.01,74.65,67.93,65.17
19,195.78,160.17,195.99,207.3,104.55,60.78,68.6,69.82,122.79,89.31,63.75,81.48,95.68,62.09,89.5,74.67,90.22,52.42,78.69,0.0,31.49,53.07,46.46,30.08,188.35,157.25,193.72,120.27,91.52,126.13,93.24,81.06,167.85,74.93,99.55,113.64,146.63,113.46,105.22,88.65,168.95,138.7,162.41,112.59,150.62,90.71,189.12,180.65,207.67,166.89,188.52,120.26,120.8,115.95,122.06,135.31,67.66,32.67,138.84,114.92
